Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,9,0,0.0,0.0,0.0,611.40106,307.64447,153.78789,1599.8563,1383.8304,688.5558,1.6829536E-4,7.016766E-5
2,0,20,0,0.0,0.0,0.0,474.81363,172.55835,86.15388,1341.7476,1376.5566,682.8928,2.527978E-4,9.282548E-5
3,0,12,0,0.0,0.0,0.0,579.2884,245.51628,122.673645,1619.9833,1381.4417,687.54767,2.2934676E-4,7.460224E-5
4,0,21,0,0.0,0.0,0.0,469.2009,224.13144,111.9707,1393.057,1376.8768,683.91833,2.2365252E-4,9.221567E-5
5,0,22,0,0.0,0.0,0.0,367.7862,185.58894,92.731834,1446.3625,1389.7871,692.8405,1.7619105E-4,9.174917E-5
6,0,16,0,0.0,0.0,0.0,484.48553,171.8435,85.84419,1486.2101,1395.1213,696.16125,2.763642E-4,8.2347644E-5
7,1,27,0,0.4690466,910.51636,454.64297,521.4235,221.55713,110.59515,1358.6328,1386.7744,690.8834,0.0068047224,1.6276732E-4
8,0,16,0,0.0,0.0,0.0,498.08655,257.6902,128.656,1330.4604,1391.6047,693.7388,2.4931272E-4,9.08487E-5
9,0,31,0,0.0,0.0,0.0,381.6037,191.48776,95.423134,1510.041,1387.6511,691.6015,1.8411427E-4,9.7972E-5
10,0,10,0,0.0,0.0,0.0,477.34283,304.77997,152.11649,1485.2188,1395.8196,697.00867,2.01054E-4,7.844078E-5
11,0,13,0,0.0,0.0,0.0,553.11664,235.73798,117.74939,1545.8436,1380.9718,686.31555,4.2230173E-4,7.9937425E-5
12,0,51,0,0.0,0.0,0.0,252.43925,95.97287,47.871014,1274.2302,1341.9891,659.9023,2.494101E-4,1.510939E-4
13,0,27,0,0.0,0.0,0.0,443.54257,184.38211,92.09994,1412.7834,1394.7313,696.30725,1.8045495E-4,9.259899E-5
14,0,32,0,0.0,0.0,0.0,539.22705,307.41193,153.52042,1507.1042,1389.6339,692.5399,2.000813E-4,9.18418E-5
15,0,18,0,0.0,0.0,0.0,524.40985,219.33614,109.58609,1438.5874,1395.149,696.5451,1.9279959E-4,8.2563536E-5
16,0,10,0,0.0,0.0,0.0,466.70508,321.105,160.4225,1540.6501,1395.9772,697.0011,2.3119163E-4,7.6272336E-5
17,0,28,0,0.0,0.0,0.0,618.12585,329.7769,164.4356,1591.4214,1380.2207,685.9298,2.760665E-4,8.7015556E-5
18,0,17,0,0.0,0.0,0.0,403.45706,331.9483,165.72362,1554.95,1391.4044,693.7835,2.5210797E-4,8.119057E-5
19,0,34,0,0.0,0.0,0.0,369.45703,171.65901,85.71506,1406.8116,1354.2383,668.2497,2.6187437E-4,1.1039208E-4
20,0,44,0,0.0,0.0,0.0,504.35156,220.91258,110.309784,1357.6398,1384.6543,688.98425,3.323164E-4,1.0705929E-4
21,0,29,0,0.0,0.0,0.0,430.4965,156.80263,78.16265,1453.717,1352.6608,667.3109,2.701334E-4,9.541514E-5
22,0,34,0,0.0,0.0,0.0,582.2622,280.89432,140.41261,1247.96,1376.4952,683.80945,4.947755E-4,1.04987994E-4
23,0,22,0,0.0,0.0,0.0,527.7773,212.44502,106.14295,1442.6929,1359.1267,670.1288,2.6961134E-4,8.976627E-5
24,0,49,0,0.0,0.0,0.0,487.84308,142.28546,71.080414,1193.3381,1352.4178,665.71185,2.6354828E-4,1.1691861E-4
25,1,44,0,1.1364479,843.73486,415.89096,458.95822,148.91742,74.25087,1328.0541,1371.114,679.26556,0.006506539,1.7365543E-4
26,0,35,0,0.0,0.0,0.0,534.84204,310.1852,154.99113,1022.1308,1372.0895,680.39624,3.5935562E-4,1.2344087E-4
27,0,32,0,0.0,0.0,0.0,440.20908,95.13656,47.438793,1071.6295,1367.817,677.4263,2.663794E-4,1.1879787E-4
28,0,15,0,0.0,0.0,0.0,541.3124,373.429,186.53665,1504.8259,1356.3408,668.98895,2.4786565E-4,8.55033E-5
29,0,67,0,0.0,0.0,0.0,431.43948,100.440475,50.09943,1503.1956,1396.3468,697.1368,1.6535676E-4,1.2593421E-4
30,0,45,0,0.0,0.0,0.0,482.25043,179.43256,89.46972,1256.1548,1369.0806,678.01483,3.6365318E-4,1.14040675E-4
31,0,51,0,0.0,0.0,0.0,320.07523,120.63857,60.130898,1056.9944,1262.7319,604.97986,2.4115731E-4,1.4959769E-4
32,0,13,0,0.0,0.0,0.0,424.4971,254.99034,126.50199,1154.0558,1372.0724,679.6767,2.88374E-4,1.0127805E-4
33,0,29,0,0.0,0.0,0.0,587.7345,282.89722,141.40385,999.2042,1367.916,676.9978,5.7422277E-4,1.2508631E-4
34,0,67,0,0.0,0.0,0.0,318.57532,73.49076,36.66026,990.44244,1179.4385,551.50134,2.5657495E-4,1.6675166E-4
35,0,20,0,0.0,0.0,0.0,364.07523,230.42892,114.92123,1044.0658,1366.7567,675.936,2.9821388E-4,1.2119471E-4
36,0,27,0,0.0,0.0,0.0,455.66412,330.8057,165.08766,1004.1916,1329.0791,651.2967,5.644706E-4,1.3386214E-4
37,0,36,0,0.0,0.0,0.0,358.7629,243.17516,121.38102,1052.4574,1342.3629,658.4768,4.4027445E-4,1.322015E-4
38,1,58,1,1.082449,829.36444,414.51712,277.32767,138.59229,68.87544,965.39014,1320.8613,641.94025,0.006259871,2.2694554E-4
39,2,22,0,0.73382807,1252.8538,626.364,557.4165,331.10782,165.16069,763.6794,1378.6843,684.5682,0.0068364427,3.042735E-4
40,0,21,0,0.0,0.0,0.0,488.70596,526.17035,262.6433,858.6717,1294.3298,625.9296,5.347238E-4,1.3778923E-4
41,1,31,1,0.5658989,967.0,483.5,341.84558,268.26538,133.92412,423.71237,1361.9142,673.13385,0.0067271194,3.0054114E-4
42,0,48,0,0.0,0.0,0.0,353.75378,225.9933,112.73687,499.84293,1016.32904,432.9242,2.8291074E-4,1.7723534E-4
43,3,31,0,1.068601,1122.6868,561.2567,370.11227,443.0746,221.45197,309.61157,1390.6698,692.7881,0.006546812,4.5480204E-4
44,0,74,0,0.0,0.0,0.0,599.6839,288.24512,144.05127,538.5797,1378.8931,684.67444,2.88379E-4,1.3869279E-4
45,1,32,0,0.58672047,872.5264,436.13858,466.4773,211.2609,104.983955,511.90485,1036.7638,450.24597,0.0067252982,2.3447162E-4
46,4,5,0,1.0215528,1096.7329,548.25775,428.91553,563.5825,281.41165,462.58722,1336.9078,655.7363,0.0066880845,4.5470736E-4
47,4,13,0,0.9536135,1092.5383,546.0228,368.99954,509.2506,254.48,363.6652,1374.9028,682.0151,0.006778125,4.949293E-4
48,0,71,0,0.0,0.0,0.0,649.34705,329.09186,164.39659,975.91754,1370.7325,677.1557,3.8128273E-4,1.1470057E-4
49,0,83,0,0.0,0.0,0.0,571.68317,250.17699,124.9922,968.7014,1372.7008,677.30493,1.8084953E-4,1.2350906E-4
50,0,39,0,0.0,0.0,0.0,463.3458,223.69164,111.425705,458.1365,1104.0812,498.65326,4.0773198E-4,1.7484628E-4
51,10,23,5,0.9774976,1253.4861,626.6615,226.73262,853.4331,426.55417,323.09317,1369.4819,677.6805,0.0066181934,8.7982876E-4
52,17,6,4,0.8680606,1237.5646,618.534,362.14206,664.1728,331.92535,173.21065,1375.755,683.0377,0.006819702,0.0014613175
53,0,78,0,0.0,0.0,0.0,582.82294,249.11348,124.45342,474.03616,1378.1787,684.80927,2.7171866E-4,1.3907359E-4
54,26,3,8,0.81050354,1340.9141,670.30347,246.49286,785.45734,392.58398,214.54279,1389.1569,691.85077,0.0068497504,0.0020181986
55,0,98,0,0.0,0.0,0.0,570.8228,293.26303,146.5453,395.12653,1399.9696,699.9705,2.6878633E-4,1.2894964E-4
56,8,8,1,0.7691039,998.58875,499.1924,213.65628,781.9706,390.8319,380.09167,1254.6533,596.41516,0.006742171,7.4219325E-4
57,0,18,0,0.0,0.0,0.0,588.9841,327.29623,163.58733,367.1382,1399.7007,699.7727,2.565037E-4,2.0174569E-4
58,11,3,4,0.87677294,1344.28,672.11035,292.0084,1086.169,543.0428,141.4602,1399.8192,699.85583,0.006860786,0.0011608587
59,3,49,1,0.5267493,789.9473,394.95004,431.67075,257.04483,128.49223,269.03275,1376.1869,683.3586,0.006826881,4.0816676E-4
60,1,1,0,1.2244644,1209.8363,604.84973,646.66144,255.0,127.5,496.38998,1399.901,699.9135,0.006395588,2.502242E-4
61,0,85,0,0.0,0.0,0.0,206.5174,1021.00696,510.4257,400.1395,1262.8607,607.57367,2.7798058E-4,2.3225936E-4
62,0,85,0,0.0,0.0,0.0,584.3021,298.83878,149.32954,462.0846,1399.7559,699.7955,4.2398408E-4,1.3553431E-4
63,0,72,0,0.0,0.0,0.0,487.5157,189.63318,94.69264,409.00928,1398.2933,698.529,6.481626E-4,1.7239375E-4
64,0,41,0,0.0,0.0,0.0,572.33606,275.27563,137.56578,448.9982,1399.6571,699.7306,5.4786337E-4,1.7338447E-4
65,8,4,2,0.7755519,1176.3557,588.0156,290.41718,812.70667,406.12622,341.78088,1399.5854,699.6923,0.0068097143,7.750174E-4
66,9,11,1,0.9319583,951.8276,475.75015,501.36282,410.56964,205.2145,409.5401,1379.6788,685.99426,0.0067227026,7.6598016E-4
67,0,63,0,0.0,0.0,0.0,352.2571,299.25192,149.60329,398.00775,1386.922,690.2579,5.0676026E-4,1.9593236E-4
68,0,41,0,0.0,0.0,0.0,377.22513,296.10873,147.95955,368.3361,1384.5161,688.7044,5.0907495E-4,2.0746142E-4
69,6,36,2,0.72543174,1215.1162,607.50085,500.96863,292.36945,146.11687,388.15384,1399.4623,699.54175,0.0067705614,5.820595E-4
70,22,6,2,0.94744474,1270.1348,634.93146,442.75204,556.5555,278.06622,202.98404,1398.3025,698.7056,0.0068357377,0.0017346956
